1	8	43
2	12	62
3	23	16
4	54	70
5	8	14
6	9	97
7	47	104
8	22	28
9	62	105
10	46	49
11	72	81
12	48	38
13	66	65
14	38	37
15	12	11
16	56	66
17	53	97
18	76	34
19	26	63
20	5	87
21	44	48
22	21	18
23	57	54
24	68	24
25	62	80
26	24	16
27	66	32
28	12	44
29	6	20
30	63	29
31	54	11
32	42	47
33	76	91
34	38	20
35	60	43
36	52	38
37	27	94
38	56	32
39	12	106
40	40	45
41	53	109
42	65	16
43	47	72
44	54	104
45	13	46
46	10	12
47	42	21
48	6	15
49	66	41
50	76	37
51	29	89
52	68	93
53	35	70
54	78	62
55	76	72
56	3	45
57	37	48
58	65	51
59	46	92
60	57	65
61	17	13
62	26	61
63	75	48
64	52	69
65	78	58
66	2	21
67	13	89
68	55	21
69	38	35
70	67	46
71	45	97
72	46	65
73	0	62
74	73	29
75	20	10
76	59	68
77	49	77
78	39	66
79	61	59
80	75	109
81	75	34
82	48	45
83	69	71
84	37	76
85	72	61
86	52	64
87	67	19
88	14	87
89	36	52
90	47	93
91	33	57
92	20	38
93	52	64
94	56	87
95	7	89
96	75	73
97	15	23
98	9	90
99	31	90
100	35	101
